 11  1 -.5738177D-01
 12  1 0.0000000D+00
 13  1 0.0000000D+00
 14  1 0.2657590D-01
 15  1 0.2740197D-01
 16  1 0.2767105D-01
 17  1 0.2740927D-01
 18  1 0.2742333D-01
 19  1 0.2709509D-01
 20  1 0.2674679D-01
 21  1 0.2653061D-01
 22  1 0.2708845D-01
 23  1 0.2700251D-01
 24  1 0.2682832D-01
 25  1 0.2690140D-01
 26  1 0.2655126D-01
 27  1 0.2653420D-01
 28  1 0.2623792D-01
 29  1 0.2611836D-01
 30  1 0.2615398D-01
 31  1 0.2580958D-01
 32  1 0.2582089D-01
 33  1 0.2557377D-01
 34  1 0.2548211D-01
 35  1 0.2531967D-01
 36  1 0.2520431D-01
 37  1 0.2505451D-01
 38  1 0.2479727D-01
 39  1 0.2421262D-01
 40  1 0.2347535D-01
