 11  2 -.5738177D-01
 12  2 0.1415903D-01
 13  2 0.2198396D-01
 14  2 0.2657590D-01
 15  2 0.2740197D-01
 16  2 0.2767105D-01
 17  2 0.2740927D-01
 18  2 0.2742333D-01
 19  2 0.2709509D-01
 20  2 0.2674679D-01
 21  2 0.2653061D-01
 22  2 0.2708845D-01
 23  2 0.2700251D-01
 24  2 0.2682832D-01
 25  2 0.2690140D-01
 26  2 0.2655126D-01
 27  2 0.2653420D-01
 28  2 0.2623792D-01
 29  2 0.2611836D-01
 30  2 0.2615398D-01
 31  2 0.2580958D-01
 32  2 0.2582089D-01
 33  2 0.2557377D-01
 34  2 0.2548211D-01
 35  2 0.2531967D-01
 36  2 0.2520431D-01
 37  2 0.2505451D-01
 38  2 0.2479727D-01
 39  2 0.2421262D-01
 40  2 0.2347535D-01
